Method ID,Method Name,Method Context 
2003,"1,1,2,2-Tetrabromoethane by GC/FID",NIOSH
1019,"1,1,2,2-Tetrachloroethane by GC/FID",NIOSH
1016,"1,1,2-Tetrachloro-2,2-Difluoroethane",NIOSH
1020,"1,1,2-Trichloro-1,2,2-Trifluoroethane",NIOSH
1601,"1,1-Dichloro-1-Nitroethane by GC/FID",NIOSH
3515,"1,1-Dimethylhydrazine by Visible Spec.",NIOSH
993.15,"1,2-Dibromoethane and DBCP in Water",AOAC
1024,"1,3 Butadiene by GC/FID",NIOSH
2523,"1,3-Cyclopentadiene by GC/FID",NIOSH
HERL_014,1-Naphthol in Urine,USEPA
2510,1-Octanethiol by GC/FPD,NIOSH
5516,"2,4- and 2,6-Toluenediamine by HPLC/UV",NIOSH
5018,"2,4,7-Trinitrofluoren-9-one HPLC/UV",NIOSH
PMD-DCA(GC1),"2,4-D and 2,4,5-T Esters by GC",USEPA
HERL_008,"2,4-D and 2,4,5-T in Urine",USEPA
PMD-DCA(GC2),"2,4-D and Silvex by Derivatization GC",USEPA
5001,"2,4-D by HPLC/UV",NIOSH
PMD-MBT(TITR),2-Mercaptobenzothiazole by Titration,USEPA
PMD-MBT(UV),2-Mercaptobenzothiazole by UV Spectroscopy,USEPA
2528,2-Nitropropane GC/FID,NIOSH
5509,"3,3-Dichlorobenzidine and Benzidine HPLC",NIOSH
5029,"4,4'-Methylenedianiline by HPLC",NIOSH
PMD-AMN,4-Aminopyridine by UV Spectroscopy,USEPA
405.1,5 Day Biochemical Oxygen Demand,USEPA
5210-B,5-Day Biochemical Oxygen Demand,APHA
PMD-ACG(GC),"Acephate, Dicofol and Triforine by GC",USEPA
2538,Acetaldehyde by GC,NIOSH
3507,Acetaldehyde by HPLC,NIOSH
1603,Acetic acid by GC/FID,NIOSH
3506,Acetic Anhydride,NIOSH
2506,Acetone Cyanohydrin,NIOSH
1606,Acetonitrile,NIOSH
8033,Acetonitrile by GC/NPD,USEPA
